part name,symbol,size (imp),max current,unit price,units per build,units in stock,order total,Manufacturer ID,source url,,,datasheet,datasheet2,,,
80 pin header,PORT_IN1,,,$1.35,1,1,$1.35,DF40C-80DP-0.4V(51),http://www.digikey.com/product-detail/en/DF40C-80DP-0.4V(51)/H11632CT-ND/1969511,,,http://www.hirose.co.jp/cataloge_hp/ed_DF40_20140305.pdf,,,Total Base Cost,$5.57
80 pin receptacle (2.0mm),PORT_OUT1,,,$1.90,1,2,$1.90,DF40C(2.0)-80DS-0.4V(51),http://www.digikey.com/product-detail/en/DF40HC(3.5)-80DS-0.4V(51)/H11997CT-ND/2880228,,,http://www.hirose.co.jp/cataloge_hp/ed_DF40_20140305.pdf,,,,
AND/OR gate,PORT_ANDOR1,,,$0.25,1,2,$0.25,SN74LVC1G0832DCKR,http://www.digikey.com/product-detail/en/SN74LVC1G0832DCKR/296-18754-1-ND/863884,,,http://www.ti.com/lit/ds/symlink/sn74lvc1g0832.pdf,,,,
multifunction gate,"PORT_XOR1, PORT_INV1",,,$0.14,2,6,$0.28,SN74LVC1G58DCKR,http://www.digikey.com/product-detail/en/SN74LVC1G58DCKR/296-15577-1-ND/571153,http://www.mouser.com/ProductDetail/Texas-Instruments/SN74LVC1G58DCKR/?qs=sGAEpiMZZMtMa9lbYwD6ZOqMILV%2fSzgW2sMfcuMGKgc%3d,,http://www.ti.com/lit/ds/symlink/sn74lvc1g58.pdf,,,,
64kbit eeprom,PORT_IC1,udfn,,$0.61,1,2,$0.61,AT24CS64-MAHM-T,http://www.digikey.com/product-detail/en/AT24CS64-MAHM-T/AT24CS64-MAHM-TCT-ND/4292118,http://www.mouser.com/ProductDetail/Atmel/AT24CS64-MAHM-T/?qs=%2fha2pyFadui79FfyPMGTL2waRBlZ1L8GKHX2sctlvy92U%2f9k6mthaA%3d%3d,N,http://www.atmel.com/Images/Atmel-8861-SEEPROM-Atmel-Value-Added-Serial-EEPROM-Products-AT24MAC-AT24CS-Brochure.pdf,,,,
1x8 right angle,Off Board,,,$0.59,1,0,$0.59,22-28-8080,,http://www.mouser.com/ProductDetail/Molex/22-28-8080/?qs=sGAEpiMZZMs%252bGHln7q6pm%252bS0pk2Wo0XxOtDPUZBN6JI%3d,N,http://www.atmel.com/Images/Atmel-8861-SEEPROM-Atmel-Value-Added-Serial-EEPROM-Products-AT24MAC-AT24CS-Brochure.pdf,,,,
~2mm Spacer,Off Board,,,$0.08,1,100,$0.08,908-080,http://www.mouser.com/ProductDetail/Bivar/908-080/?qs=sGAEpiMZZMtU66%252bVMtdfbpPy1E%252bha670,,N,http://www.atmel.com/Images/Atmel-8861-SEEPROM-Atmel-Value-Added-Serial-EEPROM-Products-AT24MAC-AT24CS-Brochure.pdf,,,,
n-channel mosfet,"Q1, Q2, Q3, Q4","TO-236-3, SC-59, SOT-23-3",220mA continuous,$0.09,4,59,$0.38,BSS138,http://www.digikey.com/product-detail/en/BSS138/BSS138CT-ND/244294,,MF-DSC-SOT233-BSS138,http://www.atmel.com/Images/Atmel-8861-SEEPROM-Atmel-Value-Added-Serial-EEPROM-Products-AT24MAC-AT24CS-Brochure.pdf,,,,
R 10k,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, PORT_R1",603,,$0.01,11,979,$0.11,RC0603FR-0710KL,http://www.digikey.com/product-detail/en/RC0603FR-0710KL/311-10.0KHRCT-ND/729827,,MF-RES-0603-10K,http://www.atmel.com/Images/Atmel-8861-SEEPROM-Atmel-Value-Added-Serial-EEPROM-Products-AT24MAC-AT24CS-Brochure.pdf,,,,
C 0.1uF,PORT_C1,603,,$0.02,1,400,$0.02,C0603C104K4RACTU,http://www.digikey.com/product-detail/en/C0603C104K4RACTU/399-1096-1-ND/411371,,MF-CAP-0603-0.1uF,http://www.atmel.com/Images/Atmel-8861-SEEPROM-Atmel-Value-Added-Serial-EEPROM-Products-AT24MAC-AT24CS-Brochure.pdf,,,,
